pred_date,itemkind,price_pred,itemnm,kindnm
2021-09-19,시금치-시금치(1kg),7037.370244300279,시금치,시금치(1kg)
2021-09-20,시금치-시금치(1kg),6926.695870780793,시금치,시금치(1kg)
2021-09-21,시금치-시금치(1kg),6679.248836318863,시금치,시금치(1kg)
2021-09-22,시금치-시금치(1kg),6367.309260235957,시금치,시금치(1kg)
2021-09-23,시금치-시금치(1kg),6183.6229472293135,시금치,시금치(1kg)
2021-09-24,시금치-시금치(1kg),6049.910257255048,시금치,시금치(1kg)
2021-09-25,시금치-시금치(1kg),6186.464613580708,시금치,시금치(1kg)
2021-09-26,시금치-시금치(1kg),5812.802389521827,시금치,시금치(1kg)
2021-09-27,시금치-시금치(1kg),5775.541735590055,시금치,시금치(1kg)
2021-09-28,시금치-시금치(1kg),5596.134861525117,시금치,시금치(1kg)
2021-09-29,시금치-시금치(1kg),5346.50800653648,시금치,시금치(1kg)
2021-09-30,시금치-시금치(1kg),5219.216436717308,시금치,시금치(1kg)
2021-10-01,시금치-시금치(1kg),5136.05017148561,시금치,시금치(1kg)
2021-10-02,시금치-시금치(1kg),5317.456164298907,시금치,시금치(1kg)
2021-10-03,시금치-시금치(1kg),4983.531518466797,시금치,시금치(1kg)
2021-10-04,시금치-시금치(1kg),4981.143428344437,시금치,시금치(1kg)
2021-10-05,시금치-시금치(1kg),4832.462649524315,시금치,시금치(1kg)
2021-10-06,시금치-시금치(1kg),4610.051833847195,시금치,시금치(1kg)
2021-10-07,시금치-시금치(1kg),4507.113822933723,시금치,시금치(1kg)
2021-10-08,시금치-시금치(1kg),4446.180236301112,시금치,시금치(1kg)
2021-10-09,시금치-시금치(1kg),4648.348535912613,시금치,시금치(1kg)
2021-10-10,시금치-시금치(1kg),4334.615036824086,시금치,시금치(1kg)
2021-10-11,시금치-시금치(1kg),4352.2375853384965,시금치,시금치(1kg)
2021-10-12,시금치-시금치(1kg),4224.0767600127565,시금치,시금치(1kg)
2021-10-13,시금치-시금치(1kg),4023.1436673014127,시금치,시금치(1kg)
2021-10-14,시금치-시금치(1kg),3942.956697742229,시금치,시금치(1kg)
2021-09-17,얼갈이배추-얼갈이배추(1kg),2881.4865910820026,얼갈이배추,얼갈이배추(1kg)
2021-09-18,얼갈이배추-얼갈이배추(1kg),2219.4565474649207,얼갈이배추,얼갈이배추(1kg)
2021-09-19,얼갈이배추-얼갈이배추(1kg),2159.0978170892918,얼갈이배추,얼갈이배추(1kg)
2021-09-20,얼갈이배추-얼갈이배추(1kg),2777.6476431256406,얼갈이배추,얼갈이배추(1kg)
